Дата,Пора_року,Місяць,Температура,Опади
01.01.2025,Зима,Січень,0.0,8.6
02.01.2025,Зима,Січень,2.5,9.5
03.01.2025,Зима,Січень,2.8,1.7
04.01.2025,Зима,Січень,-2.0,14.2
05.01.2025,Зима,Січень,1.9,11.7
06.01.2025,Зима,Січень,0.5,1.4
07.01.2025,Зима,Січень,1.2,13.1
08.01.2025,Зима,Січень,-0.8,13.9
09.01.2025,Зима,Січень,-0.8,5.7
10.01.2025,Зима,Січень,2.0,5.2
11.01.2025,Зима,Січень,-4.2,4.0
12.01.2025,Зима,Січень,2.0,3.5
13.01.2025,Зима,Січень,1.8,1.2
14.01.2025,Зима,Січень,-0.5,13.8
15.01.2025,Зима,Січень,1.0,12.1
16.01.2025,Зима,Січень,-3.5,1.1
17.01.2025,Зима,Січень,1.2,0.4
18.01.2025,Зима,Січень,2.8,12.2
19.01.2025,Зима,Січень,0.3,2.2
20.01.2025,Зима,Січень,-4.5,10.1
21.01.2025,Зима,Січень,-3.9,11.1
22.01.2025,Зима,Січень,1.6,5.9
23.01.2025,Зима,Січень,-1.7,8.0
24.01.2025,Зима,Січень,-3.1,6.8
25.01.2025,Зима,Січень,-4.3,10.3
26.01.2025,Зима,Січень,1.2,7.4
27.01.2025,Зима,Січень,2.1,7.1
28.01.2025,Зима,Січень,-0.4,3.1
29.01.2025,Зима,Січень,-4.5,14.3
30.01.2025,Зима,Січень,-4.5,4.5
31.01.2025,Зима,Січень,-2.9,5.6
01.02.2025,Зима,Лютий,2.3,10.0
02.02.2025,Зима,Лютий,2.2,10.0
03.02.2025,Зима,Лютий,3.1,10.0
04.02.2025,Зима,Лютий,2.2,8.4
05.02.2025,Зима,Лютий,-3.5,9.2
06.02.2025,Зима,Лютий,-3.0,3.2
07.02.2025,Зима,Лютий,-2.5,0.1
08.02.2025,Зима,Лютий,3.5,7.5
09.02.2025,Зима,Лютий,-0.7,6.6
10.02.2025,Зима,Лютий,-0.4,2.6
11.02.2025,Зима,Лютий,2.8,3.3
12.02.2025,Зима,Лютий,0.0,11.4
13.02.2025,Зима,Лютий,1.7,5.0
14.02.2025,Зима,Лютий,-2.0,11.9
15.02.2025,Зима,Лютий,1.9,4.0
16.02.2025,Зима,Лютий,-4.0,2.7
17.02.2025,Зима,Лютий,-0.7,7.6
18.02.2025,Зима,Лютий,-0.4,7.4
19.02.2025,Зима,Лютий,-3.6,5.8
20.02.2025,Зима,Лютий,0.6,3.3
21.02.2025,Зима,Лютий,2.6,3.0
22.02.2025,Зима,Лютий,-3.6,3.3
23.02.2025,Зима,Лютий,3.8,10.0
24.02.2025,Зима,Лютий,1.5,7.6
25.02.2025,Зима,Лютий,1.6,2.2
26.02.2025,Зима,Лютий,-3.6,6.6
27.02.2025,Зима,Лютий,-3.8,10.9
28.02.2025,Зима,Лютий,1.0,4.8
01.03.2025,Весна,Березень,8.4,1.0
02.03.2025,Весна,Березень,8.9,17.7
03.03.2025,Весна,Березень,4.4,9.0
04.03.2025,Весна,Березень,7.3,14.1
05.03.2025,Весна,Березень,2.5,9.4
06.03.2025,Весна,Березень,7.5,18.3
07.03.2025,Весна,Березень,6.2,1.0
08.03.2025,Весна,Березень,8.5,11.8
09.03.2025,Весна,Березень,3.5,12.6
10.03.2025,Весна,Березень,3.2,15.6
11.03.2025,Весна,Березень,5.1,18.9
12.03.2025,Весна,Березень,7.1,4.1
13.03.2025,Весна,Березень,4.4,14.9
14.03.2025,Весна,Березень,4.9,3.5
15.03.2025,Весна,Березень,5.9,8.3
16.03.2025,Весна,Березень,5.4,10.5
17.03.2025,Весна,Березень,9.5,13.7
18.03.2025,Весна,Березень,4.3,11.3
19.03.2025,Весна,Березень,3.3,17.4
20.03.2025,Весна,Березень,2.2,0.7
21.03.2025,Весна,Березень,2.9,4.7
22.03.2025,Весна,Березень,3.1,0.9
23.03.2025,Весна,Березень,4.6,0.6
24.03.2025,Весна,Березень,4.6,3.1
25.03.2025,Весна,Березень,9.2,8.7
26.03.2025,Весна,Березень,6.9,12.9
27.03.2025,Весна,Березень,6.9,10.4
28.03.2025,Весна,Березень,9.5,14.3
29.03.2025,Весна,Березень,5.9,19.6
30.03.2025,Весна,Березень,4.5,10.5
31.03.2025,Весна,Березень,8.2,2.4
01.04.2025,Весна,Квітень,15.6,21.3
02.04.2025,Весна,Квітень,14.6,20.2
03.04.2025,Весна,Квітень,13.0,2.2
04.04.2025,Весна,Квітень,15.1,20.9
05.04.2025,Весна,Квітень,13.4,15.1
06.04.2025,Весна,Квітень,10.3,3.2
07.04.2025,Весна,Квітень,9.9,6.3
08.04.2025,Весна,Квітень,11.0,6.4
09.04.2025,Весна,Квітень,15.6,20.8
10.04.2025,Весна,Квітень,14.0,4.6
11.04.2025,Весна,Квітень,16.0,6.6
12.04.2025,Весна,Квітень,17.8,8.2
13.04.2025,Весна,Квітень,15.1,12.0
14.04.2025,Весна,Квітень,17.3,14.9
15.04.2025,Весна,Квітень,13.7,9.7
16.04.2025,Весна,Квітень,17.1,17.0
17.04.2025,Весна,Квітень,14.6,2.8
18.04.2025,Весна,Квітень,14.6,21.0
19.04.2025,Весна,Квітень,12.3,11.7
20.04.2025,Весна,Квітень,14.0,19.8
21.04.2025,Весна,Квітень,9.1,9.1
22.04.2025,Весна,Квітень,14.3,19.2
23.04.2025,Весна,Квітень,17.0,11.6
24.04.2025,Весна,Квітень,10.3,18.3
25.04.2025,Весна,Квітень,9.9,8.2
26.04.2025,Весна,Квітень,12.5,5.3
27.04.2025,Весна,Квітень,11.0,5.8
28.04.2025,Весна,Квітень,15.2,18.6
29.04.2025,Весна,Квітень,12.3,21.4
30.04.2025,Весна,Квітень,15.0,14.6
01.05.2025,Весна,Травень,19.5,15.1
02.05.2025,Весна,Травень,21.2,17.1
03.05.2025,Весна,Травень,18.0,6.7
04.05.2025,Весна,Травень,23.6,1.6
05.05.2025,Весна,Травень,18.2,0.8
06.05.2025,Весна,Травень,20.2,33.3
07.05.2025,Весна,Травень,16.0,26.2
08.05.2025,Весна,Травень,23.0,25.2
09.05.2025,Весна,Травень,22.0,31.3
10.05.2025,Весна,Травень,23.4,21.9
11.05.2025,Весна,Травень,17.3,18.6
12.05.2025,Весна,Травень,21.8,11.0
13.05.2025,Весна,Травень,20.3,20.3
14.05.2025,Весна,Травень,20.9,29.3
15.05.2025,Весна,Травень,17.9,1.5
16.05.2025,Весна,Травень,22.4,22.0
17.05.2025,Весна,Травень,15.1,23.3
18.05.2025,Весна,Травень,23.2,8.4
19.05.2025,Весна,Травень,22.7,1.1
20.05.2025,Весна,Травень,15.3,2.6
21.05.2025,Весна,Травень,15.2,15.0
22.05.2025,Весна,Травень,20.8,26.9
23.05.2025,Весна,Травень,23.4,33.7
24.05.2025,Весна,Травень,20.3,2.9
25.05.2025,Весна,Травень,20.3,10.2
26.05.2025,Весна,Травень,23.0,12.6
27.05.2025,Весна,Травень,18.9,25.2
28.05.2025,Весна,Травень,20.3,13.1
29.05.2025,Весна,Травень,19.1,19.4
30.05.2025,Весна,Травень,16.3,5.9
31.05.2025,Весна,Травень,19.8,16.9
01.06.2025,Літо,Червень,24.5,39.6
02.06.2025,Літо,Червень,22.8,35.0
03.06.2025,Літо,Червень,24.6,32.9
04.06.2025,Літо,Червень,21.0,1.8
05.06.2025,Літо,Червень,27.9,30.1
06.06.2025,Літо,Червень,20.5,3.7
07.06.2025,Літо,Червень,21.6,39.4
08.06.2025,Літо,Червень,24.3,15.9
09.06.2025,Літо,Червень,19.7,24.2
10.06.2025,Літо,Червень,24.9,14.5
11.06.2025,Літо,Червень,27.2,21.1
12.06.2025,Літо,Червень,25.3,40.0
13.06.2025,Літо,Червень,23.1,21.0
14.06.2025,Літо,Червень,26.8,30.9
15.06.2025,Літо,Червень,26.2,3.5
16.06.2025,Літо,Червень,21.0,29.4
17.06.2025,Літо,Червень,22.8,34.0
18.06.2025,Літо,Червень,21.0,13.3
19.06.2025,Літо,Червень,27.8,24.5
20.06.2025,Літо,Червень,23.0,39.0
21.06.2025,Літо,Червень,20.9,2.0
22.06.2025,Літо,Червень,22.0,24.0
23.06.2025,Літо,Червень,22.4,37.6
24.06.2025,Літо,Червень,20.8,14.1
25.06.2025,Літо,Червень,22.7,31.1
26.06.2025,Літо,Червень,26.6,21.3
27.06.2025,Літо,Червень,21.2,18.5
28.06.2025,Літо,Червень,19.5,30.5
29.06.2025,Літо,Червень,25.0,30.7
30.06.2025,Літо,Червень,23.8,24.4
01.07.2025,Літо,Липень,27.4,3.1
02.07.2025,Літо,Липень,30.0,1.5
03.07.2025,Літо,Липень,31.0,23.6
04.07.2025,Літо,Липень,29.8,40.4
05.07.2025,Літо,Липень,27.9,8.2
06.07.2025,Літо,Липень,27.2,41.7
07.07.2025,Літо,Липень,28.6,25.2
08.07.2025,Літо,Липень,22.2,2.0
09.07.2025,Літо,Липень,23.1,41.4
10.07.2025,Літо,Липень,24.7,35.8
11.07.2025,Літо,Липень,28.3,31.8
12.07.2025,Літо,Липень,25.4,15.1
13.07.2025,Літо,Липень,27.6,17.8
14.07.2025,Літо,Липень,30.8,40.4
15.07.2025,Літо,Липень,30.6,14.6
16.07.2025,Літо,Липень,24.1,19.7
17.07.2025,Літо,Липень,26.0,5.7
18.07.2025,Літо,Липень,31.0,15.0
19.07.2025,Літо,Липень,23.2,10.0
20.07.2025,Літо,Липень,25.1,18.0
21.07.2025,Літо,Липень,24.1,29.1
22.07.2025,Літо,Липень,25.3,20.8
23.07.2025,Літо,Липень,27.4,0.1
24.07.2025,Літо,Липень,30.6,37.6
25.07.2025,Літо,Липень,24.4,9.4
26.07.2025,Літо,Липень,25.6,18.5
27.07.2025,Літо,Липень,29.1,13.4
28.07.2025,Літо,Липень,27.4,2.4
29.07.2025,Літо,Липень,26.3,38.0
30.07.2025,Літо,Липень,28.3,16.3
31.07.2025,Літо,Липень,24.2,9.0
01.08.2025,Літо,Серпень,26.7,24.4
02.08.2025,Літо,Серпень,20.8,7.1
03.08.2025,Літо,Серпень,21.2,3.8
04.08.2025,Літо,Серпень,23.3,33.7
05.08.2025,Літо,Серпень,21.4,21.0
06.08.2025,Літо,Серпень,28.6,24.9
07.08.2025,Літо,Серпень,29.8,29.3
08.08.2025,Літо,Серпень,25.0,29.9
09.08.2025,Літо,Серпень,26.3,11.2
10.08.2025,Літо,Серпень,24.8,36.4
11.08.2025,Літо,Серпень,28.9,28.6
12.08.2025,Літо,Серпень,24.9,31.1
13.08.2025,Літо,Серпень,20.4,16.5
14.08.2025,Літо,Серпень,21.2,18.1
15.08.2025,Літо,Серпень,27.5,39.9
16.08.2025,Літо,Серпень,28.1,4.9
17.08.2025,Літо,Серпень,27.5,24.2
18.08.2025,Літо,Серпень,22.6,9.4
19.08.2025,Літо,Серпень,27.4,2.8
20.08.2025,Літо,Серпень,21.0,22.4
21.08.2025,Літо,Серпень,23.8,37.3
22.08.2025,Літо,Серпень,21.4,13.4
23.08.2025,Літо,Серпень,25.9,18.8
24.08.2025,Літо,Серпень,25.8,13.8
25.08.2025,Літо,Серпень,21.9,27.9
26.08.2025,Літо,Серпень,22.7,25.5
27.08.2025,Літо,Серпень,21.9,15.8
28.08.2025,Літо,Серпень,29.3,27.1
29.08.2025,Літо,Серпень,21.8,11.2
30.08.2025,Літо,Серпень,25.1,10.7
31.08.2025,Літо,Серпень,24.7,16.9
01.09.2025,Осінь,Вересень,18.5,15.9
02.09.2025,Осінь,Вересень,19.3,23.7
03.09.2025,Осінь,Вересень,17.9,12.7
04.09.2025,Осінь,Вересень,18.7,14.9
05.09.2025,Осінь,Вересень,16.9,17.8
06.09.2025,Осінь,Вересень,18.3,2.3
07.09.2025,Осінь,Вересень,22.4,25.9
08.09.2025,Осінь,Вересень,16.1,1.7
09.09.2025,Осінь,Вересень,17.5,12.5
10.09.2025,Осінь,Вересень,15.5,12.8
11.09.2025,Осінь,Вересень,17.9,14.0
12.09.2025,Осінь,Вересень,17.4,22.5
13.09.2025,Осінь,Вересень,18.1,21.0
14.09.2025,Осінь,Вересень,22.3,23.2
15.09.2025,Осінь,Вересень,16.5,11.8
16.09.2025,Осінь,Вересень,20.4,7.5
17.09.2025,Осінь,Вересень,18.8,21.8
18.09.2025,Осінь,Вересень,15.7,21.9
19.09.2025,Осінь,Вересень,17.2,10.5
20.09.2025,Осінь,Вересень,20.6,17.7
21.09.2025,Осінь,Вересень,19.6,3.6
22.09.2025,Осінь,Вересень,17.3,20.6
23.09.2025,Осінь,Вересень,22.0,28.2
24.09.2025,Осінь,Вересень,22.2,21.5
25.09.2025,Осінь,Вересень,19.2,26.3
26.09.2025,Осінь,Вересень,16.2,3.5
27.09.2025,Осінь,Вересень,15.5,26.7
28.09.2025,Осінь,Вересень,21.9,21.1
29.09.2025,Осінь,Вересень,20.4,26.7
30.09.2025,Осінь,Вересень,19.1,27.2
01.10.2025,Осінь,Жовтень,9.7,24.7
02.10.2025,Осінь,Жовтень,12.7,18.5
03.10.2025,Осінь,Жовтень,7.5,9.9
04.10.2025,Осінь,Жовтень,11.3,6.3
05.10.2025,Осінь,Жовтень,14.6,12.5
06.10.2025,Осінь,Жовтень,12.7,0.0
07.10.2025,Осінь,Жовтень,14.1,21.1
08.10.2025,Осінь,Жовтень,9.5,12.5
09.10.2025,Осінь,Жовтень,12.0,23.6
10.10.2025,Осінь,Жовтень,9.1,1.0
11.10.2025,Осінь,Жовтень,11.3,4.5
12.10.2025,Осінь,Жовтень,12.3,6.0
13.10.2025,Осінь,Жовтень,7.5,4.4
14.10.2025,Осінь,Жовтень,9.7,24.7
15.10.2025,Осінь,Жовтень,13.5,1.0
16.10.2025,Осінь,Жовтень,14.1,2.2
17.10.2025,Осінь,Жовтень,15.2,8.9
18.10.2025,Осінь,Жовтень,9.4,13.4
19.10.2025,Осінь,Жовтень,12.6,22.8
20.10.2025,Осінь,Жовтень,13.1,20.2
21.10.2025,Осінь,Жовтень,15.3,10.1
22.10.2025,Осінь,Жовтень,15.5,13.4
23.10.2025,Осінь,Жовтень,15.1,5.6
24.10.2025,Осінь,Жовтень,13.9,20.0
25.10.2025,Осінь,Жовтень,9.6,18.6
26.10.2025,Осінь,Жовтень,11.7,15.3
27.10.2025,Осінь,Жовтень,12.3,19.2
28.10.2025,Осінь,Жовтень,15.7,0.6
29.10.2025,Осінь,Жовтень,15.9,3.3
30.10.2025,Осінь,Жовтень,14.0,7.1
31.10.2025,Осінь,Жовтень,13.6,4.5
01.11.2025,Осінь,Листопад,6.0,7.6
02.11.2025,Осінь,Листопад,5.8,2.3
03.11.2025,Осінь,Листопад,2.8,10.4
04.11.2025,Осінь,Листопад,4.6,15.7
05.11.2025,Осінь,Листопад,1.2,13.9
06.11.2025,Осінь,Листопад,5.4,13.4
07.11.2025,Осінь,Листопад,5.9,8.6
08.11.2025,Осінь,Листопад,4.0,19.6
09.11.2025,Осінь,Листопад,1.2,0.9
10.11.2025,Осінь,Листопад,5.5,1.8
11.11.2025,Осінь,Листопад,7.6,14.1
12.11.2025,Осінь,Листопад,7.9,10.9
13.11.2025,Осінь,Листопад,5.5,11.8
14.11.2025,Осінь,Листопад,3.9,17.0
15.11.2025,Осінь,Листопад,8.9,0.1
16.11.2025,Осінь,Листопад,7.8,16.8
17.11.2025,Осінь,Листопад,8.2,17.1
18.11.2025,Осінь,Листопад,3.5,9.8
19.11.2025,Осінь,Листопад,2.1,0.0
20.11.2025,Осінь,Листопад,2.7,14.9
21.11.2025,Осінь,Листопад,4.1,17.0
22.11.2025,Осінь,Листопад,4.3,17.5
23.11.2025,Осінь,Листопад,8.4,15.8
24.11.2025,Осінь,Листопад,1.4,6.4
25.11.2025,Осінь,Листопад,2.5,3.4
26.11.2025,Осінь,Листопад,2.6,12.3
27.11.2025,Осінь,Листопад,2.4,1.1
28.11.2025,Осінь,Листопад,8.2,12.5
29.11.2025,Осінь,Листопад,5.3,7.5
30.11.2025,Осінь,Листопад,5.7,9.8
01.12.2025,Зима,Грудень,3.1,5.9
02.12.2025,Зима,Грудень,3.9,7.7
03.12.2025,Зима,Грудень,-2.5,2.4
04.12.2025,Зима,Грудень,-1.1,10.6
05.12.2025,Зима,Грудень,-2.1,9.0
06.12.2025,Зима,Грудень,1.6,1.2
07.12.2025,Зима,Грудень,3.6,0.9
08.12.2025,Зима,Грудень,3.1,6.5
09.12.2025,Зима,Грудень,4.0,8.5
10.12.2025,Зима,Грудень,3.4,4.7
11.12.2025,Зима,Грудень,1.5,4.1
12.12.2025,Зима,Грудень,-0.9,5.5
13.12.2025,Зима,Грудень,1.3,8.4
14.12.2025,Зима,Грудень,-0.3,3.1
15.12.2025,Зима,Грудень,-2.5,11.6
16.12.2025,Зима,Грудень,-1.2,5.2
17.12.2025,Зима,Грудень,-0.2,2.2
18.12.2025,Зима,Грудень,-0.2,13.4
19.12.2025,Зима,Грудень,3.8,3.2
20.12.2025,Зима,Грудень,-0.2,4.5
21.12.2025,Зима,Грудень,-2.6,5.7
22.12.2025,Зима,Грудень,-1.1,11.3
23.12.2025,Зима,Грудень,-2.3,2.3
24.12.2025,Зима,Грудень,0.5,11.0
25.12.2025,Зима,Грудень,-1.6,10.0
26.12.2025,Зима,Грудень,-0.6,11.4
27.12.2025,Зима,Грудень,2.4,2.8
28.12.2025,Зима,Грудень,3.1,11.4
29.12.2025,Зима,Грудень,-2.7,11.4
30.12.2025,Зима,Грудень,3.1,10.7
31.12.2025,Зима,Грудень,3.6,14.0